negative,under_investigation,positive,resolved,tested,update_date,deceased,covid_uk,covid_southaffrica,covid_brazil,covid_india_delta
NA,10,NA,NA,NA,2020-01-26,0,NA,NA,NA,NA
NA,21,NA,NA,NA,2020-01-27,0,NA,NA,NA,NA
NA,12,1,NA,NA,2020-01-28,0,NA,NA,NA,NA
NA,27,2,NA,NA,2020-01-30,0,NA,NA,NA,NA
NA,17,2,NA,NA,2020-01-31,0,NA,NA,NA,NA
NA,29,3,NA,NA,2020-02-03,0,NA,NA,NA,NA
90,46,3,0,139,2020-02-04,0,NA,NA,NA,NA
96,51,3,0,150,2020-02-05,0,NA,NA,NA,NA
104,62,3,0,169,2020-02-06,0,NA,NA,NA,NA
130,64,3,0,197,2020-02-08,0,NA,NA,NA,NA
167,89,3,0,259,2020-02-10,0,NA,NA,NA,NA
184,98,3,0,285,2020-02-11,0,NA,NA,NA,NA
257,53,2,1,313,2020-02-12,0,NA,NA,NA,NA
306,31,2,1,340,2020-02-13,0,NA,NA,NA,NA
353,8,2,1,364,2020-02-14,0,NA,NA,NA,NA
399,0,2,1,402,2020-02-17,0,NA,NA,NA,NA
483,12,0,3,498,2020-02-21,0,NA,NA,NA,NA
610,15,1,3,629,2020-02-26,0,NA,NA,NA,NA
672,22,2,3,699,2020-02-27,0,NA,NA,NA,NA
739,23,3,3,768,2020-02-28,0,NA,NA,NA,NA
975,12,15,3,1005,2020-03-02,0,NA,NA,NA,NA
1061,45,17,3,1126,2020-03-03,0,NA,NA,NA,NA
1216,102,17,3,1338,2020-03-04,0,NA,NA,NA,NA
NA,11,1,NA,NA,2020-02-07,NA,NA,NA,NA,NA
NA,17,2,NA,NA,2020-02-09,NA,NA,NA,NA,NA
NA,8,3,NA,259,2020-02-15,NA,NA,NA,NA,NA
NA,19,3,NA,285,2020-02-16,NA,NA,NA,NA,NA
NA,15,3,1,340,2020-02-18,NA,NA,NA,NA,NA
NA,8,3,1,364,2020-02-19,NA,NA,NA,NA,NA
NA,0,3,1,402,2020-02-20,NA,NA,NA,NA,NA
NA,17,3,1,456,2020-02-22,NA,NA,NA,NA,NA
NA,14,3,2,479,2020-02-23,NA,NA,NA,NA,NA
NA,12,3,3,498,2020-02-24,NA,NA,NA,NA,NA
NA,9,4,3,553,2020-02-25,NA,NA,NA,NA,NA
NA,22,6,3,768,2020-02-29,NA,NA,NA,NA,NA
NA,12,18,3,1005,2020-03-01,NA,NA,NA,NA,NA
NA,72,26,4,1763,2020-03-05,NA,NA,NA,NA,NA
NA,36,28,4,1982,2020-03-06,NA,NA,NA,NA,NA
NA,55,29,4,2178,2020-03-07,NA,NA,NA,NA,NA
NA,22,35,4,2404,2020-03-08,NA,NA,NA,NA,NA
NA,112,36,5,2747,2020-03-09,NA,NA,NA,NA,NA
NA,465,42,5,3395,2020-03-10,NA,NA,NA,NA,NA
NA,536,59,5,4185,2020-03-11,NA,NA,NA,NA,NA
NA,580,79,5,5129,2020-03-12,NA,NA,NA,NA,NA
NA,939,103,5,6648,2020-03-13,NA,NA,NA,NA,NA
NA,1316,145,5,8465,2020-03-14,NA,NA,NA,NA,NA
NA,1537,177,5,10178,2020-03-15,NA,NA,NA,NA,NA
9409,1567,189,5,11171,2020-03-16,1,NA,NA,NA,NA
10299,3378,214,5,13897,2020-03-17,1,NA,NA,NA,NA
12414,3971,258,5,16650,2020-03-18,2,NA,NA,NA,NA
13711,5475,318,5,19511,2020-03-19,2,NA,NA,NA,NA
15760,7239,377,6,23384,2020-03-20,2,NA,NA,NA,NA
17621,8361,425,8,26420,2020-03-21,5,NA,NA,NA,NA
19572,8417,503,8,28506,2020-03-22,6,NA,NA,NA,NA
21779,10074,588,8,32457,2020-03-23,8,NA,NA,NA,NA
24437,10489,688,8,35635,2020-03-24,13,NA,NA,NA,NA
26704,10965,858,8,38550,2020-03-25,15,NA,NA,NA,NA
29939,10074,993,8,41032,2020-03-26,18,NA,NA,NA,NA
33211,8690,1144,8,43072,2020-03-27,19,NA,NA,NA,NA
40597,7203,1355,8,45766,2020-03-28,23,NA,NA,NA,NA
40650,5651,1706,431,48461,2020-03-29,23,NA,NA,NA,NA
44816,4280,1966,534,51629,2020-03-30,33,NA,NA,NA,NA
51636,3135,2392,674,57874,2020-03-31,37,NA,NA,NA,NA
57004,2052,2793,831,62733,2020-04-01,53,NA,NA,NA,NA
61163,1245,3255,1023,66753,2020-04-02,67,NA,NA,NA,NA
65059,1336,3630,1219,71338,2020-04-03,94,NA,NA,NA,NA
68459,981,4038,1449,75046,2020-04-04,119,NA,NA,NA,NA
72364,329,4347,1624,78796,2020-04-05,132,NA,NA,NA,NA
73992,691,4726,1802,81364,2020-04-06,153,NA,NA,NA,NA
75975,1102,5276,2074,84601,2020-04-07,174,NA,NA,NA,NA
79226,1208,5759,2305,88698,2020-04-08,200,NA,NA,NA,NA
82042,1598,6237,2574,92673,2020-04-09,222,NA,NA,NA,NA
85045,1517,6648,2858,96321,2020-04-10,253,NA,NA,NA,NA
91102,1619,7049,3121,103165,2020-04-11,274,NA,NA,NA,NA
95578,1534,7470,3357,108230,2020-04-12,291,NA,NA,NA,NA
99120,2107,7953,3568,113082,2020-04-13,334,NA,NA,NA,NA
101929,4429,8447,3902,119092,2020-04-14,385,NA,NA,NA,NA
110192,4323,8961,4194,128093,2020-04-15,423,NA,NA,NA,NA
116440,5993,9525,4556,136992,2020-04-16,478,NA,NA,NA,NA
124222,6833,10010,4875,146454,2020-04-17,514,NA,NA,NA,NA
134021,5736,10578,5209,156097,2020-04-18,553,NA,NA,NA,NA
143758,3799,11184,5515,164840,2020-04-19,584,NA,NA,NA,NA
150461,5546,11735,5806,174170,2020-04-20,622,NA,NA,NA,NA
158561,6845,12245,6221,184531,2020-04-21,659,NA,NA,NA,NA
167716,6757,12879,6680,194745,2020-04-22,713,NA,NA,NA,NA
180257,5414,13519,7087,207040,2020-04-23,763,NA,NA,NA,NA
187132,8171,13995,7509,217618,2020-04-24,811,NA,NA,NA,NA
198954,7417,14432,8000,229638,2020-04-25,835,NA,NA,NA,NA
212914,5001,14856,8525,242188,2020-04-26,892,NA,NA,NA,NA
221462,6282,15381,8964,253040,2020-04-27,951,NA,NA,NA,NA
228728,9530,15728,9612,264594,2020-04-28,996,NA,NA,NA,NA
238189,11859,16187,10205,277522,2020-04-29,1082,NA,NA,NA,NA
253525,11975,16608,10825,294054,2020-04-30,1121,NA,NA,NA,NA
267845,12829,17119,11390,310359,2020-05-01,1176,NA,NA,NA,NA
286946,9785,17553,12005,327505,2020-05-02,1216,NA,NA,NA,NA
304067,6265,17923,12505,342060,2020-05-03,1300,NA,NA,NA,NA
314241,6023,18310,12779,352714,2020-05-04,1361,NA,NA,NA,NA
323512,8790,18722,13222,365675,2020-05-05,1429,NA,NA,NA,NA
333675,13012,19121,13569,380854,2020-05-06,1477,NA,NA,NA,NA
347380,14641,19598,13990,397149,2020-05-07,1540,NA,NA,NA,NA
365143,15307,19944,14383,416376,2020-05-08,1599,NA,NA,NA,NA
382534,14816,20238,14772,433994,2020-05-09,1634,NA,NA,NA,NA
401600,9018,20546,15131,447964,2020-05-10,1669,NA,NA,NA,NA
411087,10811,20907,15391,459921,2020-05-11,1725,NA,NA,NA,NA
422817,13395,21236,15845,475058,2020-05-12,1765,NA,NA,NA,NA
435326,17578,21581,16204,492487,2020-05-13,1798,NA,NA,NA,NA
456080,14373,21922,16641,510841,2020-05-14,1825,NA,NA,NA,NA
476853,10565,22313,17020,528609,2020-05-15,1858,NA,NA,NA,NA
498518,4414,22653,17360,544826,2020-05-16,1881,NA,NA,NA,NA
509293,2189,22957,17638,553981,2020-05-17,1904,NA,NA,NA,NA
514299,2294,23384,17898,559794,2020-05-18,1919,NA,NA,NA,NA
518806,4444,23774,18190,567176,2020-05-19,1962,NA,NA,NA,NA
527942,5051,24187,18509,577682,2020-05-20,1993,NA,NA,NA,NA
538026,5516,24628,18767,588958,2020-05-21,2021,NA,NA,NA,NA
547881,5871,25040,19146,599986,2020-05-22,2048,NA,NA,NA,NA
561103,3216,25500,19477,611369,2020-05-23,2073,NA,NA,NA,NA
567952,3883,25904,19698,619539,2020-05-24,2102,NA,NA,NA,NA
574181,6961,26191,19958,629414,2020-05-25,2123,NA,NA,NA,NA
583720,11817,26483,20372,644547,2020-05-26,2155,NA,NA,NA,NA
600566,11868,26866,20673,662162,2020-05-27,2189,NA,NA,NA,NA
616913,13351,27210,20983,680687,2020-05-28,2230,NA,NA,NA,NA
637434,12760,27533,21353,701327,2020-05-29,2247,NA,NA,NA,NA
656759,9647,27859,21810,718341,2020-05-30,2266,NA,NA,NA,NA
673601,6427,28263,22153,732720,2020-05-31,2276,NA,NA,NA,NA
683856,10622,28709,22484,747964,2020-06-01,2293,NA,NA,NA,NA
699695,11636,29047,22811,765501,2020-06-02,2312,NA,NA,NA,NA
718595,12760,29403,23208,786323,2020-06-03,2357,NA,NA,NA,NA
741104,12247,29747,23583,809053,2020-06-04,2372,NA,NA,NA,NA
763218,12384,30202,23947,832158,2020-06-05,2407,NA,NA,NA,NA
787458,6779,30617,24252,851532,2020-06-06,2426,NA,NA,NA,NA
804276,4811,30860,24492,866889,2020-06-07,2450,NA,NA,NA,NA
810995,11020,31090,24829,880398,2020-06-08,2464,NA,NA,NA,NA
827246,13897,31341,25380,900339,2020-06-09,2475,NA,NA,NA,NA
848405,16359,31544,25885,924680,2020-06-10,2487,NA,NA,NA,NA
874092,18512,31726,26187,953015,2020-06-11,2498,NA,NA,NA,NA
893276,26158,31992,26538,980471,2020-06-12,2507,NA,NA,NA,NA
916790,25290,32189,26961,1003749,2020-06-13,2519,NA,NA,NA,NA
945132,18258,32370,27213,1025500,2020-06-14,2527,NA,NA,NA,NA
966781,17920,32554,27431,1047224,2020-06-15,2538,NA,NA,NA,NA
986716,21635,32744,27784,1071429,2020-06-16,2550,NA,NA,NA,NA
1008346,24887,32917,28004,1096707,2020-06-17,2553,NA,NA,NA,NA
1038544,21479,33095,28250,1123932,2020-06-18,2564,NA,NA,NA,NA
1069992,16963,33301,28468,1151319,2020-06-19,2595,NA,NA,NA,NA
1094502,15424,33476,28719,1174727,2020-06-20,2606,NA,NA,NA,NA
1121421,10027,33637,28933,1196627,2020-06-21,2609,NA,NA,NA,NA
1130819,16418,33853,29107,1212816,2020-06-22,2619,NA,NA,NA,NA
1148642,21398,34016,29336,1236023,2020-06-23,2631,NA,NA,NA,NA
1172553,24607,34205,29528,1263534,2020-06-24,2641,NA,NA,NA,NA
1200256,27344,34316,29754,1294314,2020-06-25,2644,NA,NA,NA,NA
1226987,33759,34476,29932,1327806,2020-06-26,2652,NA,NA,NA,NA
1259428,29592,34654,30107,1356439,2020-06-27,2658,NA,NA,NA,NA
1299093,16701,34911,30196,1383566,2020-06-28,2665,NA,NA,NA,NA
1319923,19318,35068,30344,1407325,2020-06-29,2672,NA,NA,NA,NA
1341636,23326,35217,30526,1433381,2020-06-30,2676,NA,NA,NA,NA
1375001,13922,35370,30730,1457703,2020-07-01,2680,NA,NA,NA,NA
1396860,15911,35535,30909,1481897,2020-07-02,2682,NA,NA,NA,NA
1419302,14594,35656,31083,1503322,2020-07-03,2687,NA,NA,NA,NA
1445714,11651,35794,31266,1527114,2020-07-04,2689,NA,NA,NA,NA
1465423,8931,35948,31426,1544417,2020-07-05,2689,NA,NA,NA,NA
1476550,12625,36060,31603,1559529,2020-07-06,2691,NA,NA,NA,NA
1494562,17116,36178,31805,1582361,2020-07-07,2700,NA,NA,NA,NA
1516011,21648,36348,31977,1608687,2020-07-08,2703,NA,NA,NA,NA
1539174,25668,36464,32155,1636171,2020-07-09,2710,NA,NA,NA,NA
1571878,22083,36594,32422,1665693,2020-07-10,2716,NA,NA,NA,NA
1603269,16174,36723,32534,1691419,2020-07-11,2719,NA,NA,NA,NA
1632254,7837,36839,32663,1712315,2020-07-12,2722,NA,NA,NA,NA
1642683,13918,36950,32785,1729059,2020-07-13,2723,NA,NA,NA,NA
1658095,22029,37052,32920,1752828,2020-07-14,2732,NA,NA,NA,NA
1681062,25297,37163,33061,1779320,2020-07-15,2737,NA,NA,NA,NA
1712520,24781,37274,33162,1810483,2020-07-16,2746,NA,NA,NA,NA
1741299,24551,37440,33294,1839332,2020-07-17,2748,NA,NA,NA,NA
1774379,18081,37604,33407,1866222,2020-07-18,2751,NA,NA,NA,NA
1801780,11351,37739,33513,1887135,2020-07-19,2752,NA,NA,NA,NA
1823967,11842,37942,33605,1910109,2020-07-20,2753,NA,NA,NA,NA
1840544,18881,38107,33812,1934099,2020-07-21,2755,NA,NA,NA,NA
1863347,21825,38210,33963,1960100,2020-07-22,2755,NA,NA,NA,NA
1888096,25550,38405,34100,1988909,2020-07-23,2758,NA,NA,NA,NA
1917193,26078,38543,34240,2018813,2020-07-24,2759,NA,NA,NA,NA
1951155,18000,38680,34359,2044957,2020-07-25,2763,NA,NA,NA,NA
1984348,9249,38799,34461,2069621,2020-07-26,2764,NA,NA,NA,NA
1997791,12919,38910,34567,2086955,2020-07-27,2768,NA,NA,NA,NA
2019499,18268,38986,34741,2114263,2020-07-28,2769,NA,NA,NA,NA
2036919,28267,39075,34906,2141939,2020-07-29,2772,NA,NA,NA,NA
2065699,29215,39209,35074,2171972,2020-07-30,2775,NA,NA,NA,NA
2100923,26984,39333,35237,2205254,2020-07-31,2777,NA,NA,NA,NA
2140272,17839,39449,35359,2235697,2020-08-01,2778,NA,NA,NA,NA
2167965,12953,39537,35485,2258718,2020-08-02,2778,NA,NA,NA,NA
2190591,9285,39628,35601,2277887,2020-08-03,2782,NA,NA,NA,NA
2200466,16407,39714,35747,2295116,2020-08-04,2782,NA,NA,NA,NA
2223507,19292,39809,35906,2321297,2020-08-05,2783,NA,NA,NA,NA
2242652,25077,39897,36024,2346433,2020-08-06,2783,NA,NA,NA,NA
2267286,26273,39967,36131,2372441,2020-08-07,2784,NA,NA,NA,NA
2303561,17540,40046,36279,2400212,2020-08-08,2786,NA,NA,NA,NA
2332294,10865,40161,36381,2422487,2020-08-09,2786,NA,NA,NA,NA
2349955,14677,40194,36456,2444068,2020-08-10,2786,NA,NA,NA,NA
2366920,22054,40289,36590,2468640,2020-08-11,2787,NA,NA,NA,NA
2389374,29049,40367,36689,2498266,2020-08-12,2787,NA,NA,NA,NA
2412958,35426,40459,36772,2528403,2020-08-13,2788,NA,NA,NA,NA
2444760,33852,40565,36873,2558839,2020-08-14,2789,NA,NA,NA,NA
2476417,25847,40646,36953,2582652,2020-08-15,2789,NA,NA,NA,NA
2512573,15076,40745,37036,2608219,2020-08-16,2789,NA,NA,NA,NA
2534369,16128,40870,37126,2631286,2020-08-17,2793,NA,NA,NA,NA
2560459,15490,40972,37215,2656928,2020-08-18,2792,NA,NA,NA,NA
2579609,22104,41048,37291,2682845,2020-08-19,2793,NA,NA,NA,NA
2609605,19941,41179,37397,2710918,2020-08-20,2796,NA,NA,NA,NA
2640038,17965,41287,37487,2739574,2020-08-21,2797,NA,NA,NA,NA
2665049,16115,41402,37595,2762958,2020-08-22,2797,NA,NA,NA,NA
2690541,9229,41507,37673,2781748,2020-08-23,2798,NA,NA,NA,NA
2702347,17259,41607,37748,2801761,2020-08-24,2800,NA,NA,NA,NA
2720645,20716,41695,37863,2823721,2020-08-25,2802,NA,NA,NA,NA
2743611,26179,41813,37940,2852346,2020-08-26,2803,NA,NA,NA,NA
2770890,30512,41935,38023,2884169,2020-08-27,2809,NA,NA,NA,NA
2803766,29491,42083,38126,2916275,2020-08-28,2809,NA,NA,NA,NA
2834156,23880,42195,38204,2941245,2020-08-29,2810,NA,NA,NA,NA
2869404,13542,42309,38277,2966343,2020-08-30,2811,NA,NA,NA,NA
2890538,15748,42421,38369,2989888,2020-08-31,2812,NA,NA,NA,NA
2911747,18273,42554,38506,3013892,2020-09-01,2812,NA,NA,NA,NA
2933298,22769,42686,38625,3040190,2020-09-02,2812,NA,NA,NA,NA
2958450,25945,42834,38741,3068781,2020-09-03,2811,NA,NA,NA,NA
2989435,23357,43003,38847,3097453,2020-09-04,2811,NA,NA,NA,NA
3023778,17698,43161,38958,3126408,2020-09-05,2813,NA,NA,NA,NA
3054352,10540,43351,39077,3150133,2020-09-06,2813,NA,NA,NA,NA
3077160,8357,43536,39196,3171062,2020-09-07,2813,NA,NA,NA,NA
3082775,20062,43685,39332,3188667,2020-09-08,2813,NA,NA,NA,NA
3101343,25850,43855,39474,3213336,2020-09-09,2814,NA,NA,NA,NA
3127974,31384,44068,39598,3245837,2020-09-10,2813,NA,NA,NA,NA
3164133,30491,44300,39717,3281455,2020-09-11,2814,NA,NA,NA,NA
3198673,26765,44504,39841,3312598,2020-09-12,2815,NA,NA,NA,NA
3235271,19260,44817,39974,3342138,2020-09-13,2816,NA,NA,NA,NA
3257484,24339,45068,40091,3369802,2020-09-14,2820,NA,NA,NA,NA
3281767,28346,45383,40245,3398563,2020-09-15,2822,NA,NA,NA,NA
3307148,37624,45676,40424,3433697,2020-09-16,2825,NA,NA,NA,NA
3339578,40443,46077,40600,3469523,2020-09-17,2825,NA,NA,NA,NA
3375598,42778,46484,40777,3508463,2020-09-18,2826,NA,NA,NA,NA
3420275,37671,46849,40968,3548590,2020-09-19,2827,NA,NA,NA,NA
3456605,32489,47274,41146,3580343,2020-09-20,2829,NA,NA,NA,NA
3482830,39788,47752,41342,3614544,2020-09-21,2832,NA,NA,NA,NA
3509379,48079,48087,41600,3649980,2020-09-22,2835,NA,NA,NA,NA
3533556,53840,48496,41886,3680614,2020-09-23,2836,NA,NA,NA,NA
3563341,65227,48905,42169,3722479,2020-09-24,2837,NA,NA,NA,NA
3602993,68040,49340,42507,3765717,2020-09-25,2837,NA,NA,NA,NA
3647699,65061,49831,42796,3808226,2020-09-26,2839,NA,NA,NA,NA
3703253,49586,50531,43127,3849337,2020-09-27,2840,NA,NA,NA,NA
3735574,54759,51085,43450,3887712,2020-09-28,2844,NA,NA,NA,NA
3757874,67126,51710,43907,3923465,2020-09-29,2848,NA,NA,NA,NA
3781117,82473,52248,44422,3963111,2020-09-30,2851,NA,NA,NA,NA
3811934,90513,52980,44850,4003204,2020-10-01,2927,NA,NA,NA,NA
3856250,91322,53633,45285,4049458,2020-10-02,2968,NA,NA,NA,NA
3907173,78953,54199,45819,4089119,2020-10-03,2975,NA,NA,NA,NA
3955155,68006,54814,46360,4127315,2020-10-04,2980,NA,NA,NA,NA
4008608,55483,55362,46906,4169346,2020-10-05,2987,NA,NA,NA,NA
4050664,55413,55945,47613,4212623,2020-10-06,2988,NA,NA,NA,NA
4094951,58118,56742,48308,4261111,2020-10-07,2992,NA,NA,NA,NA
4138142,58173,57681,49032,4306025,2020-10-08,2997,NA,NA,NA,NA
4182959,56138,58490,49732,4350323,2020-10-09,3004,NA,NA,NA,NA
4236043,45837,59139,50437,4394461,2020-10-10,3005,NA,NA,NA,NA
4284402,32473,59946,51105,4430934,2020-10-11,3008,NA,NA,NA,NA
4322309,24420,60692,51729,4462167,2020-10-12,3017,NA,NA,NA,NA
4350873,26558,61413,52512,4494373,2020-10-13,3017,NA,NA,NA,NA
4379511,36314,62196,53291,4534334,2020-10-14,3022,NA,NA,NA,NA
4415743,37155,62908,54004,4572841,2020-10-15,3031,NA,NA,NA,NA
4462493,33630,63713,54686,4617563,2020-10-16,3041,NA,NA,NA,NA
4512016,23609,64371,55371,4658413,2020-10-17,3046,NA,NA,NA,NA
4549871,16303,65075,55978,4690277,2020-10-18,3050,NA,NA,NA,NA
4564642,24129,65896,56606,4714326,2020-10-19,3053,NA,NA,NA,NA
4590567,29332,66686,57325,4746972,2020-10-20,3062,NA,NA,NA,NA
4622384,34784,67527,58066,4785832,2020-10-21,3071,NA,NA,NA,NA
4660183,35436,68353,58799,4825851,2020-10-22,3080,NA,NA,NA,NA
4707239,30922,69331,59424,4870002,2020-10-23,3086,NA,NA,NA,NA
4751544,23601,70373,60160,4908771,2020-10-24,3093,NA,NA,NA,NA
4784658,17603,71224,60839,4937423,2020-10-25,3099,NA,NA,NA,NA
4802048,22636,72051,61530,4961368,2020-10-26,3103,NA,NA,NA,NA
4819176,33906,72885,62303,4991378,2020-10-27,3108,NA,NA,NA,NA
4846865,40074,73819,63123,5026999,2020-10-28,3118,NA,NA,NA,NA
4885183,41063,74715,63919,5068007,2020-10-29,3127,NA,NA,NA,NA
4930082,36262,75730,64717,5109927,2020-10-30,3136,NA,NA,NA,NA
4977694,23933,76707,65581,5147060,2020-10-31,3145,NA,NA,NA,NA
5012357,15397,77655,66407,5174968,2020-11-01,3152,NA,NA,NA,NA
5030374,20758,78705,67244,5200247,2020-11-02,3166,NA,NA,NA,NA
5044664,33087,79692,68189,5228814,2020-11-03,3182,NA,NA,NA,NA
5069759,41787,80690,69137,5264568,2020-11-04,3195,NA,NA,NA,NA
5103774,47074,81693,70086,5305836,2020-11-05,3209,NA,NA,NA,NA
5143446,44572,82825,70938,5345001,2020-11-06,3220,NA,NA,NA,NA
5187601,35776,84153,71815,5382578,2020-11-07,3233,NA,NA,NA,NA
5223057,26646,85395,72636,5410979,2020-11-08,3245,NA,NA,NA,NA
5248842,27802,86783,73417,5440104,2020-11-09,3260,NA,NA,NA,NA
5276564,34460,88209,74303,5476811,2020-11-10,3275,NA,NA,NA,NA
5306096,41977,89784,75220,5516370,2020-11-11,3293,NA,NA,NA,NA
5341642,44507,91180,76238,5556879,2020-11-12,3312,NA,NA,NA,NA
5388615,39767,92761,77241,5601716,2020-11-13,3332,NA,NA,NA,NA
5442102,26147,94009,78303,5643922,2020-11-14,3361,NA,NA,NA,NA
5482857,16254,95496,79295,5677273,2020-11-15,3371,NA,NA,NA,NA
5497748,25435,96745,80430,5703741,2020-11-16,3383,NA,NA,NA,NA
5517008,36671,98162,81925,5737181,2020-11-17,3415,NA,NA,NA,NA
5548410,44493,99372,83301,5779019,2020-11-18,3443,NA,NA,NA,NA
5591626,46609,100790,84716,5827192,2020-11-19,3451,NA,NA,NA,NA
5638887,43047,102378,86079,5873863,2020-11-20,3472,NA,NA,NA,NA
5694919,30427,103912,87508,5920252,2020-11-21,3486,NA,NA,NA,NA
5741331,18394,105501,88992,5957723,2020-11-22,3505,NA,NA,NA,NA
5755357,29316,106510,90074,5984776,2020-11-23,3519,NA,NA,NA,NA
5772915,44950,107883,91550,6020852,2020-11-24,3554,NA,NA,NA,NA
5809725,52852,109361,92915,6068428,2020-11-25,3575,NA,NA,NA,NA
5863047,54241,111216,94366,6126465,2020-11-26,3595,NA,NA,NA,NA
5912794,56219,113038,95876,6181551,2020-11-27,3624,NA,NA,NA,NA
5981073,38724,114746,97319,6235510,2020-11-28,3648,NA,NA,NA,NA
6028741,27388,116492,98639,6274916,2020-11-29,3656,NA,NA,NA,NA
6053636,34046,118199,100012,6309556,2020-11-30,3663,NA,NA,NA,NA
6078890,49574,119922,101698,6353782,2020-12-01,3698,NA,NA,NA,NA
6119638,58320,121746,103239,6406655,2020-12-02,3712,NA,NA,NA,NA
6168198,62403,123526,104792,6462656,2020-12-03,3737,NA,NA,NA,NA
6223304,63193,125385,106416,6522055,2020-12-04,3757,NA,NA,NA,NA
6294385,47850,127309,107990,6581306,2020-12-05,3772,NA,NA,NA,NA
6352917,31238,129234,109402,6626589,2020-12-06,3798,NA,NA,NA,NA
